-165.37 64.56
-143.28 60.12
-144.61 60.97
-150.99 64.1
-151.15 60.77
-152.08 63.42
-152.32 63.88
-150.2 67.23
-143.09 60.75
-141.34 60.96
-150.26 62.41
-147.38 63.08
-145.75 60.55
-171.7 63.78
-156.88 64.75
-147.1 60.88
-146.95 64.41
-145.92 61.49
-148.46 61.41
-143.02 61.38
-148.94 63.73
-141.95 60.18
-150.74 65.03
-149.07 64.59
-145.47 62.97
-140.25 60.1
-145.52 65.52
-152.19 62.9
-148.33 60.86
-149.74 61.09
-162.91 68.05
-144.85 63.74
-148.33 61.81
-147.33 61.83
-143.99 63.98
-151.53 61.98
-150.75 61.46
-149.45 60.1
-167.93 65.56
-150.29 63.45
-148.55 62.83
-147.74 62.58
-149.13 61.59
-156.01 62.93
-152.21 61.2
-140.86 62.41
-139.39 64.06
-137.5 60.83
-133.53 68.31
-134.88 60.66
-140.46 61.78
-138.55 61.43
-138.36 60.94
-139.76 61.28
-147.86 64.87
-133.35 62.23
-123.48 60.24
-135.89 63.6
-131.26 62.62
-128.27 61.53
-123.46 63.23
-128.8 60.11
-161.07 70.2
-156.62 71.32
-154.97 71
-125.25 71.99
-161.8 69.36
-157.16 70.01
-154.61 69.62
-153.42 70.34
-165.34 68.27
-163.18 68.48
-161.19 68.65
-159.59 69.1
-154.78 69.16
-150.61 69.84
-148.7 69.72
-144.91 69.92
-143.71 69.63
-124.07 69.35
-163.08 67.7
-158.12 68.49
-156.61 68.71
-152.68 68.88
-150.68 68.97
-148.82 69.15
-146.38 69.32
-140.96 69.24
-138.74 69.33
-161.83 67.08
-160.6 67.42
-157.23 67.46
-156.19 68.26
-153.97 68.44
-151.81 68.13
-149.62 68.06
-148.49 68.07
-145.57 68.12
-141.6 68.19
-139.53 68.6
-137.9 68.39
-136.72 66.37
-166.33 65.47
-164.65 65.71
-161.25 66.44
-159.65 66.6
-157.77 66.83
-155.73 67.05
-153.48 67.22
-152.18 67.51
-147.89 67.52
-145.64 67.59
-144.15 67.69
-139.87 67.61
-135.79 67.61
-133.74 67.44
-164.04 64.99
-162.35 65.39
-160.65 65.5
-158.65 65.89
-157.09 66.14
-153.51 66.52
-151.51 66.92
-150.02 66.71
-147.48 66.7
-146.1 66.77
-143.78 66.95
-141.65 66.81
-138.02 66.91
-136.22 66.98
-134.27 66.92
-162.24 64.64
-159.91 64.94
-158.36 65.15
-156.45 65.53
-154.88 65.49
-152.81 65.66
-151.38 65.89
-149.54 65.83
-147.88 65.84
-145.82 66.27
-141.53 66.23
-138.37 66.22
-134.34 65.81
-145.16 62.4
-160.69 63.89
-154.48 64.8
-151.98 65.18
-149.36 65.15
-143.15 65.31
-141.62 65.6
-139.94 65.45
-138.31 65.36
-136.38 65.22
-163.55 62.75
-160.6 63.28
-159.08 63.4
-156.72 63.47
-155.62 63.99
-154.15 64.18
-145.37 64.61
-143.56 64.5
-138.22 64.45
-136.33 64.58
-164.66 61.93
-161.53 62.29
-158.3 62.72
-154.07 63.36
-145.78 63.8
-142.08 64.03
-137.52 63.84
-162.68 61.34
-161.49 61.68
-159.47 61.71
-158.3 62.13
-156.69 62.22
-154.85 62.18
-153.88 62.48
-143.35 63.03
-141.83 63.06
-138.13 63.11
-166.2 60.38
-163.35 60.41
-161.96 60.75
-160.69 60.69
-158.96 61.02
-157.44 61.4
-155.82 61.49
-154.39 61.9
-153.13 61.88
-150.12 61.75
-147.73 61.79
-146.18 62.11
-143 62.4
-141.88 62.36
-138.46 62.44
-136.79 62.58
-134.39 62.2
-160.09 60.17
-158.77 60.47
-157.19 60.53
-155.89 60.68
-154.48 60.81
-152.21 61.2
-144.6 61.61
-137.09 61.46
-135.78 61.49
-133.08 61.15
-154.32 60.2
-152.62 60.08
-149.72 60.48
-140.19 60.77
-138.58 60.3
-136.09 60.77
-136.96 60.12
-132.82 60.21
-147.43 65.12
-147.86 64.87
-149.57 68.64
-141.16 64.78
-125.07 60.18
-124.05 60.13
