061 KU6 29.8907 66.0255 061_PLOT_RESULTS_stereo_KU6.eps 19 59 6
062 KUA 20.3368 67.9542 062_PLOT_RESULTS_stereo_KUA.eps 7 8 0
063 LANU 21.988 68.0493 063_PLOT_RESULTS_stereo_LANU.eps 10 18 0
064 LILU 19.848 65.2856 064_PLOT_RESULTS_stereo_LILU.eps 8 7 0
065 LNKU 15.5047 58.2232 065_PLOT_RESULTS_stereo_LNKU.eps 6 37 0
066 LOF 13.542 68.131 066_PLOT_RESULTS_stereo_LOF.eps 1 23 0
067 LUNU 13.446 55.632 067_PLOT_RESULTS_stereo_LUNU.eps 4 13 0
068 LVZ 34.6514 67.8979 068_PLOT_RESULTS_stereo_LVZ.eps 53 41 0
069 MASU 21.9983 67.4569 069_PLOT_RESULTS_stereo_MASU.eps 8 12 0
070 MEF 24.3958 60.2172 070_PLOT_RESULTS_stereo_MEF.eps 34 70 0
071 MOL 7.547 62.5698 071_PLOT_RESULTS_stereo_MOL.eps 2 28 0
072 MOR 14.735 66.286 072_PLOT_RESULTS_stereo_MOR.eps 0 28 0
073 MOS 19.0294 65.7875 073_PLOT_RESULTS_stereo_MOS.eps 16 3 0
074 MSF 29.0402 65.9113 074_PLOT_RESULTS_stereo_MSF.eps 42 82 15
075 MTSE 23.8146 58.7144 075_PLOT_RESULTS_stereo_MTSE.eps 0 26 0
076 MUD 9.1733 56.455 076_PLOT_RESULTS_stereo_MUD.eps 3 38 0
077 N1301 13.1157 66.0951 077_PLOT_RESULTS_stereo_N1301.eps 2 3 1
078 N1302 14.0562 66.1406 078_PLOT_RESULTS_stereo_N1302.eps 1 3 0
079 N1303 14.9948 66.0423 079_PLOT_RESULTS_stereo_N1303.eps 0 7 0
080 N1305 14.0677 66.383 080_PLOT_RESULTS_stereo_N1305.eps 0 1 0
081 N1306 15.738 66.742 081_PLOT_RESULTS_stereo_N1306.eps 0 4 1
082 N1307 14.9686 67.1032 082_PLOT_RESULTS_stereo_N1307.eps 0 5 0
083 N1308 16.0956 67.1202 083_PLOT_RESULTS_stereo_N1308.eps 0 2 0
084 N1309 16.5613 66.4717 084_PLOT_RESULTS_stereo_N1309.eps 5 1 0
085 N1311 17.5295 66.6073 085_PLOT_RESULTS_stereo_N1311.eps 4 1 0
086 N1312 13.4419 65.6288 086_PLOT_RESULTS_stereo_N1312.eps 0 2 0
087 N1313 14.1706 65.6884 087_PLOT_RESULTS_stereo_N1313.eps 0 5 1
088 N1314 15.4821 65.7581 088_PLOT_RESULTS_stereo_N1314.eps 2 1 0
089 N1315 16.2446 65.9673 089_PLOT_RESULTS_stereo_N1315.eps 4 4 0
090 N1316 16.1439 65.207 090_PLOT_RESULTS_stereo_N1316.eps 5 4 0
091 N1317 16.9557 64.7975 091_PLOT_RESULTS_stereo_N1317.eps 2 1 0
092 N1318 17.6128 64.9657 092_PLOT_RESULTS_stereo_N1318.eps 2 2 0
093 N1319 17.1136 65.1625 093_PLOT_RESULTS_stereo_N1319.eps 4 8 0
094 N1320 16.1918 65.744 094_PLOT_RESULTS_stereo_N1320.eps 2 2 0
095 N1321 17.7294 65.6478 095_PLOT_RESULTS_stereo_N1321.eps 3 1 0
096 N2AN 16.0353 69.2371 096_PLOT_RESULTS_stereo_N2AN.eps 0 10 0
097 N2BR 14.7075 68.5788 097_PLOT_RESULTS_stereo_N2BR.eps 3 4 0
098 N2DI 14.9863 68.3134 098_PLOT_RESULTS_stereo_N2DI.eps 5 2 0
099 N2HA 16.5611 68.7839 099_PLOT_RESULTS_stereo_N2HA.eps 7 5 0
100 N2HS 15.5136 68.1033 100_PLOT_RESULTS_stereo_N2HS.eps 5 6 0
101 N2IH 15.9367 67.9662 101_PLOT_RESULTS_stereo_N2IH.eps 2 6 0
102 N2LO 15.9533 68.4004 102_PLOT_RESULTS_stereo_N2LO.eps 4 0 0
103 N2NF 15.2277 67.761 103_PLOT_RESULTS_stereo_N2NF.eps 1 11 0
104 N2RO 12.1158 67.5173 104_PLOT_RESULTS_stereo_N2RO.eps 0 2 0
105 N2SO 15.438 68.7139 105_PLOT_RESULTS_stereo_N2SO.eps 4 2 0
