55.121307768	-5.1780828804          no        SKS          NULL               NULL     -
74.2080187765	71.0944984898         no        SKKS         73.4855476801      0.9      -
67.2471522586	36.6033668113         no        SKS           71.4855476801     1.3      -
69.028601844	78.3927417599          yes       SKKS          2.0963789554      0.4      0.1042822629
66.609015106	43.3388197227          yes       SKS          NULL               NULL     0.1042822629
68.9599146224	78.3255195438         yes       SKKS         24.282802167       1        0.5681923645
66.5710899975	43.3129893495         yes       SKS          NULL               NULL     0.5681923645
64.3393551692	83.1507671714         no        SKKS           NULL             NULL     -
65.74373052	52.4469675635           no        SKS          NULL               NULL     -
51.0491406863	73.6687230748         no        SKKS         64.0803708665      1        -
57.6872092739	56.6205526877         no        SKS          40.0803708665      0.9      -
48.4531878514	-10.8198756306        yes       SKKS         32.8062198082      1        0.3801970882
56.7950220503	5.8531572544          yes       SKS          NULL               NULL     0.3801970882
49.4879783032	-14.5518994436        yes       SKKS         50.6515169417      1.2      0.7981889715
57.2823410511	3.059958751           yes       SKS          NULL               NULL     0.7981889715
50.7407353675	-14.1775350964        yes       SKKS         52.4628965001      0.7      0.5378092354
58.1797592247	4.7817619021          yes       SKS          NULL               NULL     0.5378092354
50.2409979704	-15.4845753983        yes       SKKS         62.8962810495      1.3      0.1846557815
57.7426404243	2.7699078547          yes       SKS           NULL              NULL     0.1846557815
53.234056081	-23.2244260557         no        SKKS         NULL               NULL     -
59.3486351516	-3.6450207507         no        SKS          NULL               NULL     -
45.2386804125	-19.6312092178        no        SKKS          NULL              NULL     -
53.741540438	-4.9263314098          no        SKS          NULL               NULL     -
68.7002496655	65.3686878066         yes       SKKS         -8.5906709158      1.14     0.9265251025
65.8799619255	31.6525081282         yes       SKS          NULL               NULL     0.9265251025
43.6733422957	-20.9158558971        no        SKKS         NULL               NULL     -
52.2303178574	-6.2691373799         no        SKS          NULL               NULL     -
45.7055551318	-18.9699619134        no        SKKS         NULL               NULL     -
54.2631427722	-3.8592032448         no        SKS          NULL               NULL     -
46.8923976464	-19.1253808423        no        SKKS          -78.9154471537    0.76     -
55.185949074	-2.8944502118          no        SKS          -56.9154471537     0.78     -
46.0621469516	-18.965942172         no        SKKS         NULL               NULL     -
54.6046059587	-3.7116336027         no        SKS          NULL               NULL     -
45.9555916125	-19.3713243283        no        SKKS          NULL              NULL     -
54.437416354	-4.3257330173          no        SKS          NULL               NULL     -
65.7935832235	62.0664027746         no        SKKS         NULL               NULL     -
63.0781946104	31.5591990955         no        SKS          NULL               NULL     -
42.8399271914	-20.3620983389        no        SKKS          NULL              NULL     -
51.331803211	-5.887754455           no        SKS          NULL               NULL     -
41.6581058484	-20.6559317768        no        SKKS         NULL               NULL     -
50.1770448176	-7.4311084746         no        SKS          NULL               NULL     -
68.7864207026	60.6265907863         no        SKKS          NULL              NULL     -
63.224133677	30.5706212579          no        SKS           NULL              NULL     -
44.767807617	-16.8449544782         no        SKKS          -57.2977684557    0.76     -
52.774460463	-1.113467968           no        SKS          -63.2977684557     0.94     -
64.8242372882	68.2333299252         no        SKKS         76.2486998622      1.12     -
63.1778119219	38.3427064471         no        SKS          -75.7513001378     1.26     -
46.0238370616	-19.0759945552        no        SKKS         NULL               NULL     -
54.4685380328	-3.9384591389         no        SKS          NULL               NULL     -
57.0274452872	-27.4596533016        no        SKKS         NULL               NULL     -
66.2103510436	-7.6407321794         no        SKS          NULL               NULL     -
51.3856181321	4.2211799421          no        SKKS          NULL              NULL     -
63.738411645	13.3180671593          no        SKS          NULL               NULL     -
55.9351521979	-28.5251243353        no        SKKS         NULL               NULL     -
65.0846561568	-10.9024148368        no        SKS          NULL               NULL     -
69.5706098018	105.316174092         no        SKKS         14.7408473381      1.14     -
74.6880234001	65.2118886406         no        SKS          24.7408473381      1.52     -
57.8977894278	-26.9056994857        no        SKKS         NULL               NULL     -
66.9150889368	-5.6545685657         no        SKS          NULL               NULL     -
68.9846763649	105.7297131145        no        SKKS         3.5227363383       1.32     -
74.4485635356	68.221228854          no        SKS          17.5227363383      1.32     -
74.6711980796	109.1598727268        no        SKKS         NULL               NULL     -
76.5864759149	54.092554312          no        SKS          NULL               NULL     -
80.2732839702	117.095516737         no        SKKS         NULL               NULL     -
77.9992727212	43.3511922742         no        SKS          NULL               NULL     -
53.3720028188	-22.6285150276        no        SKKS         NULL               NULL     -
61.9760521149	-3.7004804765         no        SKS          NULL               NULL     -
51.9760159871	-22.4514524502        no        SKKS          NULL              NULL     -
60.885501699	-5.2586934054          no        SKS           NULL              NULL     -
48.408089656	-21.6403222913         no        SKKS         NULL               NULL     -
57.0015435051	-5.2681691235         no        SKS          NULL               NULL     -
