id|Station|Latitude|Longitude|phi|dt|refID|Phase|pmax|pmin|dtmax|dtmin|remark
0|ARU|56.4|58.6|68.0|0.9|0|SKS|||||
1|COL|64.89|-147.79|278.0|1.55|0|SKS|3.0||0.1||
2|GRA1|49.69|11.22|77.0|1.05|0|SKS|4.0||0.15||
3|HIA|49.26|119.74|340.0|0.7|0|SKS|5.0||0.15||
4|LAC|34.39|-116.41|306.0|1.2|0|SKS|||||
5|LON|46.75|-121.81|84.0|1.0|0|SKS|11.0||0.2||
6|MNV|38.43|-118.15|75.0|0.9|0|SKS|||||
7|NNA|-11.99|-76.84|306.0|1.1|0|SKS|||||
8|OBN|55.1|36.36|5.0|0.5|0|SKS|||||
9|RSCP|35.59|-85.57|59.0|0.75|0|SKS|6.0||0.15||
10|RSNT|62.48|-114.59|51.0|1.2|0|SKS|4.0||0.05||
11|RSNY|44.55|-74.53|74.0|0.9|0|SKS|5.0||0.15||
12|RSON|50.86|-93.7|76.0|1.7|0|SKS|2.0||0.05||
13|RSSD|44.12|-104.04|55.0|0.65|0|SKS|5.0||0.1||
14|SLR|-25.73|28.28|81.0|1.1|0|SKS|8.0||0.1||
15|TOL|39.88|-4.05|84.0|1.0|0|SKS|4.0||0.15||
16|WMQ|43.82|87.69|39.0|1.0|0|SKS|4.0||0.15||
18|ALR|44.0|74.2|80.0|1.2|1|SKS|||||
19|ANA|42.775|77.681|80.0|1.4|1|SKS|||||
20|ARK|41.871|71.96|80.0|1.8|1|SKS|||||
21|ARL|41.9|74.2|60.0|0.6|1|SKS|||||
22|ARS|41.329|72.973|80.0|1.6|1|SKS|||||
23|BTK|40.057|70.818|80.0|1.4|1|SKS|||||
24|ERK|42.5|73.6|80.0|1.4|1|SKS|||||
25|FRU|42.8|74.6|80.0|1.0|1|SKS|||||
26|GAR|39.0008|70.3167|60.0|1.0|1|SKS|||||
27|KDS|42.1|77.2|160.0|1.0|1|SKS|||||
28|MNS|42.506|72.562|90.0|1.2|1|SKS|||||
29|NRN|41.433|76.0|140.0|0.8|1|SKS|||||
30|OSH|40.525|72.785|80.0|2.0|1|SKS|||||
31|PRZ|42.483|78.24|100.0|1.6|1|SKS|||||
32|SAM|39.672|66.99|100.0|1.2|1|SKS|||||
33|SFK|40.033|73.5|40.0|1.2|1|SKS|||||
34|TAS|41.325|69.295|80.0|0.6|1|SKS|||||
35|P1K|34.8|-112.4|59.0|0.85|2|SKS|||||
36|P2H|34.0|-112.9|68.0|1.12|2|SKS|||||
37|P36|33.7|-114.1|74.0|0.74|2|SKS|||||
38|PCC|35.75|-112.5|56.0|0.64|2|SKS|||||
39|ANMO|34.946|-106.456|41.0|1.5|3|SKS|11.0||0.5||
40|CZL|36.283|-105.91|26.0|0.9|3|SKS|18.0||0.5||
41|ELPA|31.772|-106.51|5.0|1.5|3|SKS|12.0||0.5||
42|SEVI|34.27|-106.73|41.0|1.1|3|SKS|19.0||0.5||
43|WSMR|32.34|-106.49|11.0|1.2|3|SKS|8.0||0.3||
44|WTX|34.072|-106.95|46.0|1.1|3|SKS|12.0||0.4||
45|AGD|11.53|42.82|45.0|1.2|4|SKS|||||
46|ANMO|34.9|-106.5|35.0|1.1|4|SKS|||||
47|ANTO|39.9|32.8|25.0|1.3|4|SKS|||||
48|ASH|37.9|58.3|25.0|0.8|4|SKS|||||
49|BCAO|4.4|18.5|60.0|0.6|4|SKS|||||
50|BDF|-15.7|-47.9|40.0|1.2|4|SKS|||||
51|BER|60.4|5.3|105.0|1.1|4|SKS|||||
52|BKR|41.7|43.5|90.0|1.7|4|SKS|||||
53|BOCO|4.59|-74.04|20.0|1.2|4|SKS|||||
54|BRG|50.9|14.0|100.0|1.2|4|SKS|||||
55|BRV|53.1|70.2|30.0|1.2|4|SKS|||||
56|CAY|5.0|-52.3|100.0|0.0|4|SKS|||||
57|CHTO|18.8|99.0|100.0|1.6|4|SKS|||||
58|CLL|51.3|13.0|100.0|1.0|4|SKS|||||
59|COL|64.9|-147.8|77.0|1.6|4|SKS|||||
60|CTAO|-20.1|146.3|40.0|1.0|4|SKS|||||
61|ELT|53.2|86.3|80.0|1.2|4|SKS|||||
62|FRU|42.8|74.6|80.0|1.0|4|SKS|||||
63|GAC|45.7|-75.5|85.0|0.9|4|SKS|||||
64|GAR|39.0|70.3|65.0|1.7|4|SKS|||||
65|GDH|69.3|-53.5|120.0|1.2|4|SKS|||||
66|GRF|49.5|11.2|90.0|0.7|4|SKS|||||
67|GRS|39.0|46.3|100.0|1.5|4|SKS|||||
68|ILT|67.9|-178.8|15.0|0.9|4|SKS|||||
69|INU|35.4|137.0|170.0|1.2|4|SKS|||||
70|IRK|52.2|104.3|75.0|1.1|4|SKS|||||
71|JAS|37.9|-120.4|80.0|1.5|4|SKS|||||
72|KAAO|34.5|69.0|60.0|1.8|4|SKS|||||
73|KEV|69.8|27.0|70.0|1.1|4|SKS|||||
74|KHC|49.1|13.6|100.0|1.1|4|SKS|||||
75|KHE|80.6|58.0|65.0|1.2|4|SKS|||||
76|KIP|21.4|-158.0|45.0|1.5|4|SKS|||||
77|KONO|59.6|9.6|20.0|0.8|4|SKS|||||
78|KSP|50.8|16.3|120.0|0.9|4|SKS|||||
79|LON|46.8|-121.8|90.0|0.8|4|SKS|||||
80|MAJO|36.5|138.2|130.0|0.9|4|SKS|||||
81|MGD|60.1|150.7|20.0|0.8|4|SKS|||||
82|MOX|50.7|11.6|100.0|0.7|4|SKS|||||
83|NE02|56.5|9.2|60.0|1.2|4|SKS|||||
84|NE05|52.1|5.2|70.0|0.5|4|SKS|||||
85|NE15|50.9|5.8|70.0|0.5|4|SKS|||||
86|NRI|69.4|88.1|0.0|1.8|4|SKS|||||
87|NWAO|-32.9|117.2|60.0|1.5|4|SKS|||||
88|OBN|55.2|36.6|0.0|0.6|4|SKS|||||
89|RSCP|35.6|-85.6|46.0|0.8|4|SKS|||||
90|RSNT|62.5|-114.6|48.0|1.1|4|SKS|||||
91|RSON|50.9|-93.7|80.0|1.7|4|SKS|||||
92|RSSD|44.1|-104.0|54.0|0.6|4|SKS|||||
93|SCP|40.8|-77.9|80.0|1.2|4|SKS|||||
94|SCZ|36.6|-121.4|100.0|1.3|4|SKS|||||
95|SEM|50.5|80.3|170.0|1.5|4|SKS|||||
96|SEY|62.9|152.4|110.0|1.2|4|SKS|||||
97|SHIO|25.6|91.9|120.0|1.1|4|SKS|||||
98|SLR|-25.7|-28.3|90.0|0.8|4|SKS|||||
99|SNZO|-41.3|174.7|20.0|1.8|4|SKS|||||
100|SSB|45.28|4.54|140.0|1.0|4|SKS|||||
101|STU|48.8|9.2|50.0|0.5|4|SKS|||||
102|SVE|56.8|60.6|0.0|1.4|4|SKS|||||
103|TAS|41.3|69.3|80.0|0.8|4|SKS|||||
104|TATO|25.0|121.5|60.0|1.8|4|SKS|||||
105|TAU|-42.9|147.3|80.0|0.6|4|SKS|||||
106|TIK|71.6|128.9|60.0|0.0|4|SKS|||||
107|TOL|39.9|-4.0|100.0|1.3|4|SKS|||||
108|VTS|42.6|23.3|120.0|1.2|4|SKS|||||
109|WFM|42.6|-71.5|80.0|0.8|4|SKS|||||
110|ZAK|50.3|103.3|130.0|1.2|4|SKS|||||
111|ZOBO|-16.3|-68.1|120.0|0.8|4|SKS|||||
112|BRG|50.9|14.0|100.0|1.2|5|SKS|||||
113|CLL|51.3|13.0|100.0|1.0|5|SKS|||||
114|MOX|50.7|11.6|100.0|0.7|5|SKS|||||
115|GRF|49.4|11.3|90.0|0.7|5|SKS|||||
116|STU|48.8|9.2|50.0|0.5|5|SKS|||||
117|NE05|52.1|5.2|70.0|0.5|5|SKS|||||
118|NE15|50.9|5.8|70.0|0.5|5|SKS|||||
119|KHC|49.1|13.6|100.0|1.1|5|SKS|||||
120|KSP|50.8|16.3|120.0|0.9|5|SKS|||||
121|BKS|37.877|-122.235|294.0|1.55|6|SKS|5.0||0.25||
122|BMN|40.431|-117.22|74.0|0.85|6|SKS|8.0||0.25||
123|CMB|38.035|-120.385|85.0|1.5|6|SKS|6.0||0.2||
124|DNY|41.081|-119.277|74.0|1.25|6|SKS|6.0||0.1||
125|ELK|40.745|-115.24|288.0|1.0|6|SKS|4.0||0.1||
126|KNB|37.017|-112.822|22.0|0.95|6|SKS|5.0||0.1||
127|LAC|34.39|-116.411|283.0|1.35|6|SKS|4.0||0.1||
128|MHC|37.342|-121.542|308.0|1.5|6|SKS|10.0||0.1||
129|MNV|38.432|-118.154|271.0|1.25|6|SKS|3.0||0.1||
132|P01|40.53|-119.03|74.0|0.8|6|SKS|7.0||0.1||
133|P07|39.33|-118.12|77.0|0.7|6|SKS|11.0||0.1||
134|P12|37.01|-116.64|37.0|0.55|6|SKS|7.0||0.15||
135|SAO|36.765|-121.445|292.0|2.15|6|SKS|7.0||0.3||
136|WCN|37.528|-119.756|271.0|0.55|6|SKS|11.0||0.2||
137|CNOW|49.07|-93.14|58.0|1.2|7|SKS|6.0||0.2||
138|CPSW|43.71|-103.39|84.0|1.05|7|SKS|5.0||0.1||
139|CROW|50.15|-93.07|76.0|1.6|7|SKS|5.0||0.2||
140|DIWR|43.46|-105.58|29.0|0.95|7|SKS|8.0||0.15||
141|DLOR|49.61|-92.86|66.0|1.75|7|SKS|2.0||0.1||
142|EFOR|50.53|-93.3|64.0|1.7|7|SKS|4.0||0.15||
143|FLOR|52.87|-93.65|73.0|1.0|7|SKS|5.0||0.2||
144|FVNR|48.23|-97.74|54.0|1.0|7|SKS|2.0||0.1||
145|GLWW|44.19|-105.68|37.0|0.8|7|SKS|4.0||0.15||
146|HANW|47.18|-101.55|98.0|0.0|7|SKS|0.0||0.0||
147|LENR|46.19|-101.59|67.0|0.0|7|SKS|0.0||0.0||
148|LPSW|45.8|-102.61|68.0|0.8|7|SKS|5.0||0.1||
149|MAMW|48.1|-93.8|81.0|1.3|7|SKS|5.0||0.2||
150|MCNW|47.55|-100.36|48.0|0.4|7|SKS|8.0||0.2||
151|NBOW|51.41|-93.69|66.0|1.45|7|SKS|10.0||0.2||
152|NSOW|52.46|-93.05|80.0|0.7|7|SKS|4.0||0.15||
153|OPSR|44.91|-102.51|83.0|0.75|7|SKS|4.0||0.15||
154|RSON|50.859|-93.702|76.0|1.7|7|SKS|2.0||0.05||
155|RSSD|44.12|-104.036|55.0|0.65|7|SKS|5.0||0.1||
156|SHNW|47.85|-99.23|28.0|1.35|7|SKS|5.0||0.2||
157|STNR|46.67|-99.88|37.0|1.2|7|SKS|8.0||0.05||
158|TRMW|48.12|-96.42|38.0|1.0|7|SKS|5.0||0.15||
159|G01|55.965|101.41|133.0|1.0|8|SKS|7.0||0.5||
160|G02|55.56|101.803|170.0|0.9|8|SKS|13.0||0.4||
161|G03|55.022|102.055|145.0|0.8|8|SKS|3.0||0.1||
162|G04|54.516|102.07|128.0|1.2|8|SKS|4.0||0.1||
163|G05|54.193|102.649|144.0|0.7|8|SKS|3.0||0.1||
164|G06|53.929|102.934|149.0|0.6|8|SKS|9.0||0.2||
165|G07A|53.649|103.255|110.0|0.0|8|SKS|30.0||0.0||
166|G07B|53.649|103.255|20.0|0.0|8|SKS|30.0||0.0||
167|G08A|53.243|103.767|110.0|0.0|8|SKS|30.0||0.0||
168|G08B|53.243|103.767|20.0|0.0|8|SKS|30.0||0.0||
169|G09|52.778|104.105|138.0|0.9|8|SKS|5.0||0.2||
170|G10|52.622|104.234|138.0|0.6|8|SKS|7.0||0.1||
171|G11A|52.169|104.469|110.0|0.0|8|SKS|30.0||0.0||
172|G11B|52.169|104.469|20.0|0.0|8|SKS|30.0||0.0||
173|G12|51.847|104.893|144.0|0.6|8|SKS|19.0||0.4||
174|G13|51.526|105.121|148.0|1.3|8|SKS|17.0||0.3||
175|G14|51.292|105.339|132.0|0.9|8|SKS|6.0||0.3||
176|G15|51.021|105.682|138.0|1.1|8|SKS|6.0||0.1||
177|G16A|50.791|105.97|38.0|1.0|8|SKS|4.0||0.2||
178|G16B|50.791|105.97|129.0|1.6|8|SKS|7.0||0.4||
179|G17|50.193|106.254|137.0|1.5|8|SKS|16.0||0.4||
180|G18|49.747|106.188|145.0|0.8|8|SKS|16.0||0.1||
181|G19|49.738|106.202|147.0|0.3|8|SKS|24.0||0.3||
182|G20|49.288|106.412|134.0|0.4|8|SKS|9.0||0.2||
183|G21A|48.931|106.682|39.0|1.0|8|SKS|11.0||0.4||
184|G21B|48.931|106.682|132.0|0.8|8|SKS|10.0||0.6||
185|G22|48.383|106.783|105.0|1.1|8|SKS|6.0||0.3||
186|G23|47.921|106.954|64.0|0.8|8|SKS|4.0||0.1||
187|G24|47.866|107.051|69.0|0.7|8|SKS|6.0||0.1||
188|G25|47.209|107.422|44.0|0.3|8|SKS|7.0||0.1||
189|G26A|46.635|107.758|56.0|0.4|8|SKS|10.0||0.1||
190|G26B|46.635|107.758|132.0|1.5|8|SKS|3.0||0.2||
191|G27|46.115|107.619|55.0|1.3|8|SKS|22.0||0.3||
192|G28|45.262|108.26|85.0|1.4|8|SKS|34.0||0.6||
193|AAK|42.639|74.494|83.0|1.45|9|SKS|4.0||0.2||
194|ALE|82.483|-62.35|61.0|0.91|9|SKS|5.0||0.15||
195|ARU|56.4|58.6|68.0|0.94|9|SKS|2.0||0.09||
196|ERM|42.015|143.157|28.0|1.48|9|SKS|3.0||0.16||
197|ESK|55.317|-3.205|74.0|1.07|9|SKS|4.0||0.15||
198|GAR|39.0|70.31|69.0|1.31|9|SKS|3.0||0.22||
199|KIV|43.956|42.688|88.0|1.2|9|SKS|3.0||0.2||
200|NNA|-11.987|-76.842|290.0|1.23|9|SKS|2.0||0.15||
201|OBN|55.113|36.569|341.0|0.68|9|SKS|9.0||0.06||
202|AMDO|32.247|91.688|75.0|0.88|10|SKS|||||
203|BUDO|35.529|93.91|87.0|2.4|10|SKS|||||
204|ERDO|34.52|92.707|73.0|1.49|10|SKS|||||
205|GANZ|29.767|94.05|79.0|0.94|10|SKS|||||
206|LHSA|29.702|91.128|120.0|0.0|10|SKS|||||
207|MAQI|34.478|100.249|132.0|0.82|10|SKS|||||
208|SANG|31.024|91.7|51.0|0.8|10|SKS|||||
209|TUNL|36.199|94.815|89.0|0.93|10|SKS|||||
210|USHU|33.011|97.015|119.0|0.72|10|SKS|||||
211|WNDO|33.448|91.904|62.0|1.91|10|SKS|||||
212|XIGA|29.234|88.851|82.0|1.25|10|SKS|||||
213|BARV|10.67|-63.0|94.0|1.4|11|SKS|||||
214|BDF|-15.664|-47.903|53.0|1.5|11|SKS|||||
215|BOCO|4.59|-74.04|20.0|1.2|11|SKS|||||
216|CAY|4.948|-52.317|119.0|0.7|11|SKS|||||
217|CECV|10.57|-64.17|81.0|1.9|11|SKS|||||
218|CUS|-13.563|-71.877|115.0|0.8|11|SKS|||||
219|DTMR|38.96|-77.06|0.0|0.0|11|SKS|||||
220|ECPV|9.18|-65.25|79.0|0.7|11|SKS|||||
221|HDC2|10.27|-84.117|0.0|0.0|11|SKS|||||
222|LPAZ|-16.288|-68.131|120.0|1.1|11|SKS|||||
223|MBO|14.391|-16.955|82.0|0.7|11|SKS|||||
224|MNVV|9.95|-64.03|101.0|1.3|11|SKS|||||
225|NNA|-11.988|-76.842|113.0|1.2|11|SKS|||||
226|RSCP|35.59|-85.57|59.0|0.7|11|SKS|||||
227|RSLV|10.65|-62.25|89.0|1.6|11|SKS|||||
228|RSSD|44.12|-104.04|55.0|0.6|11|SKS|||||
229|RSNT|62.48|-114.592|51.0|1.2|11|SKS|||||
230|RSNY|44.55|-74.53|74.0|0.9|11|SKS|||||
231|WFM|42.1|-71.49|100.0|0.8|11|SKS|||||
232|EBMT|49.628|-95.622|42.0|1.6|12|SKS|||||
233|EUAL|32.779|-87.874|272.0|0.8|12|SKS|||||
234|FOTX|30.902|-102.698|39.0|0.8|12|SKS|||||
235|GEAZ|33.776|-110.528|42.0|1.3|12|SKS|||||
236|HHND|48.948|-98.692|51.0|1.3|12|SKS|||||
237|JELA|31.785|92.015|83.0|1.1|12|SKS|||||
238|KNUT|37.023|-112.827|27.0|0.7|12|SKS|||||
239|LCNM|32.402|-106.599|23.0|1.1|12|SKS|||||
240|NLAZ|35.901|-109.569|76.0|1.3|12|SKS|||||
241|RTNM|36.729|-104.36|27.0|0.8|12|SKS|||||
242|RYND|48.097|-101.494|69.0|0.5|12|SKS|||||
243|TDNM|36.656|-106.172|48.0|1.0|12|SKS|||||
244|BFO|48.3319|8.3311|40.0|1.0|13|SKS|||||
245|CLZ|51.84|10.37|110.0|0.6|13|SKS|||||
246|FUR|48.16|11.28|60.0|1.2|13|SKS|||||
247|HAM|53.47|9.92|120.0|0.4|13|SKS|||||
248|TNS|50.22|8.45|80.0|0.8|13|SKS|||||
249|WET|49.14|12.88|90.0|1.4|13|SKS|||||
250|AUC|43.66|0.56|46.0|1.2|14|SKS|10.0||0.4||
251|AUC|43.66|0.56|0.0|0.0|14|SKS|0.0||0.0||
252|AVL|41.881|0.753|100.0|1.5|14|SKS|5.0||0.3||
253|AVL|41.881|0.753|102.0|1.3|14|SKKS|3.0||0.2||
254|BDB|43.059|0.15|90.0|0.8|14|SKS|10.0||0.2||
255|LTE|43.183|0.763|98.0|0.6|14|SKS|17.0||0.2||
256|MLS|42.956|1.095|70.0|0.9|14|SKS|10.0||0.2||
257|PON|42.404|0.757|99.0|1.5|14|SKS|2.0||0.1||
258|VIH|42.629|0.77|102.0|1.3|14|SKS|6.0||0.2||
259|BBB|52.18|-128.11|9.0|0.3|15|SKS|||||
260|DAWY|64.06|-139.31|116.0|1.35|15|SKS|||||
261|EDM|53.22|-113.35|33.0|0.6|15|SKS|||||
262|FCC|58.76|-94.08|27.0|0.55|15|SKS|||||
263|FFC|54.72|-101.97|48.0|0.7|15|SKS|||||
264|FRB|63.74|-68.54|78.0|0.7|15|SKS|||||
265|GAC|45.7|-75.47|36.0|0.65|15|SKS|||||
266|INK|68.3|-133.52|81.0|0.6|15|SKS|||||
267|MBC|76.24|-119.36|43.0|0.85|15|SKS|||||
268|PGC|48.65|-123.45|74.0|1.15|15|SKS|||||
269|PMB|50.51|-123.06|45.0|0.65|15|SKS|||||
270|PNT|49.31|-119.61|51.0|1.7|15|SKS|||||
271|RES|74.68|-94.9|300.0|0.95|15|SKS|||||
272|WALA|49.05|-113.91|37.0|0.9|15|SKS|||||
273|WHY|60.65|-134.88|166.0|0.95|15|SKS|||||
274|YKA|62.49|-114.6|53.0|1.55|15|SKS|||||
275|BBO|54.7367|-3.2465|94.0|0.61|16|SKS|6.0||0.12||
276|BHH|55.0928|-3.2187|335.0|0.9|16|SKS|7.0||0.17||
277|CME|50.176|-5.1903|91.0|0.47|16|SKS|4.0||0.08||
278|CR2|50.1669|-5.1687|91.0|0.47|16|SKS|4.0||0.08||
279|CRA|50.1648|-5.1921|91.0|0.47|16|SKS|4.0||0.08||
280|CTR|50.1665|-5.1624|91.0|0.47|16|SKS|4.0||0.08||
281|CWF|52.7382|-1.3071|73.0|0.78|16|SKS|9.0||0.14||
282|DYA|50.4352|-3.9309|37.0|0.81|16|SKS|7.0||0.17||
283|EDI|55.9233|-3.1861|64.0|0.75|16|SKS|6.0||0.12||
284|ESK|55.3167|-3.205|81.0|1.04|16|SKS|5.0||0.13||
285|GAL|54.8664|-4.7114|294.0|0.85|16|SKS|4.0||0.09||
286|HPK|53.9554|-1.624|81.0|0.62|16|SKS|12.0||0.12||
287|HTL|50.9944|-4.485|95.0|0.58|16|SKS|7.0||0.14||
288|KPL|57.3391|-5.6527|83.0|0.65|16|SKS|5.0||0.1||
289|LRW|60.136|-1.1779|4.0|0.53|16|SKS|7.0||0.14||
290|MCD|57.5827|-3.2541|45.0|0.94|16|SKS|8.0||0.15||
291|MCH|51.9977|-2.9983|20.0|0.79|16|SKS|5.0||0.1||
292|PGB|55.81|-4.478|94.0|1.03|16|SKS|5.0||0.1||
293|SWN|51.513|-1.8005|294.0|0.49|16|SKS|7.0||0.14||
294|TFO|51.1136|1.1406|70.0|0.67|16|SKS|12.0||0.14||
295|WCB|53.3782|-4.5465|334.0|0.6|16|SKS|8.0||0.14||
296|CUS|-13.563|-71.877|291.0|0.76|17|SKS|13.0||0.24||
297|NNA|-11.988|-76.842|298.0|1.0|17|SKS|6.0||0.14||
298|CUS|-13.56|-71.88|286.0|0.85|18|SKS|13.0||0.3||
299|NNA|-11.99|-76.84|290.0|1.25|18|SKS|5.0||0.2||
300|ADW|38.416|-121.0|91.0|1.8|19|SKS|5.0||0.5||
301|AFD|38.948|-120.971|101.0|1.3|19|SKS|5.0||0.3||
302|ARC|40.877|-124.075|83.0|0.55|19|SKS|8.0||0.2||
303|BKS|37.877|-122.235|120.0|1.58|19|SKS|5.0||0.1||
304|BMN|40.431|-117.222|81.0|2.0|19|SKS|5.0||0.2||
305|CMB|38.035|-120.385|85.0|1.68|19|SKS|5.0||0.2||
306|DNY|41.081|-119.227|82.0|1.61|19|SKS|5.0||0.2||
307|GSC|35.303|-116.808|92.0|1.07|19|SKS|5.0||0.2||
308|ISA|35.663|-118.473|11.0|1.52|19|SKS|15.0||0.3||
309|KVN|39.051|-118.1|55.0|0.92|19|SKS|5.0||0.2||
310|LAC|34.39|-116.41|103.0|1.35|19|SKS|5.0||0.1||
311|MHC|37.342|-121.642|122.0|1.53|19|SKS|6.0||0.1||
312|MIN|40.345|-121.61|79.0|0.78|19|SKS|9.0||0.2||
313|MNA|38.433|-118.157|93.0|1.29|19|SKS|5.0||0.2||
314|ORV|39.556|-121.5|0.0|0.0|19|SKS|0.0||0.0||
315|PAS|34.148|-118.172|82.0|1.21|19|SKS|5.0||0.2||
316|PFO|33.609|-116.455|89.0|1.45|19|SKS|2.0||0.1||
317|PKD|35.889|-120.42|93.0|1.6|19|SKS|5.0||0.3||
318|SAO|36.765|-121.445|111.0|1.73|19|SKS|5.0||0.2||
319|SBC|34.441|-119.713|91.0|1.02|19|SKS|6.0||0.2||
320|STA|37.404|-122.174|117.0|1.54|19|SKS|5.0||0.2||
321|SVD|34.104|-117.097|87.0|1.55|19|SKS|5.0||0.2||
322|WCK|37.528|-118.651|52.0|1.3|19|SKS|7.0||0.2||
323|WCN|39.302|-119.756|56.0|0.84|19|SKS|5.0||0.2||
324|WDC|40.58|-122.54|48.0|1.08|19|SKS|5.0||0.2||
325|YBH|41.723|-122.72|60.0|1.56|19|SKS|5.0||0.2||
326|BPI|-26.175|28.03|20.0|0.4|20|SKS|||||
327|DOU|-29.115|23.865|40.0|1.1|20|SKS|||||
328|KAM|-29.133|23.125|20.0|1.4|20|SKS|||||
329|KLI|-25.853|26.272|40.0|1.0|20|SKS|||||
330|PIL|-25.221|27.101|50.0|0.6|20|SKS|||||
331|SAN|-24.626|27.618|30.0|0.7|20|SKS|||||
332|WAR|-28.377|24.893|20.0|1.3|20|SKS|||||
333|ERM|42.015|143.157|26.0|1.25|21|SKKS|20.0||0.55||
334|MAJO|36.54|138.21|1.0|1.05|21|SKKS|11.0||0.3||
335|MAJO|36.54|138.21|10.0|1.85|21|SKS|15.0||0.25||
336|YSS|47.0|142.8|0.0|0.93|21|SKS|18.0||0.3||
337|YSS|47.0|142.8|11.0|1.13|21|PKS|18.0||0.3||
338|YSS|47.0|142.8|15.0|0.9|21|SKKS|25.0||0.25||
339|AGVB|-19.7393|-50.2331|287.0|0.95|22|SKS|4.0||0.12||
340|CACB|-21.6802|-46.7326|301.0|0.9|22|SKS|2.0||0.05||
341|CAP|-22.6631|-51.0535|276.0|0.86|22|SKS|6.0||0.08||
342|CAPB|-22.8125|-51.0149|86.0|0.6|22|SKS|13.0||0.15||
343|CDCB|-20.2365|-44.7182|307.0|0.6|22|SKS|8.0||0.18||
344|FRMB|-20.4878|-45.6418|304.0|0.95|22|SKS|7.0||0.28||
345|FURB|-20.6782|-46.2779|306.0|0.85|22|SKS|12.0||0.4||
346|IBIB|-21.7772|-48.8139|89.0|0.75|22|SKS|6.0||0.1||
347|NAVB|-21.4336|-54.1842|57.0|0.65|22|SKS|3.0||0.2||
348|OLIB|-20.8793|-48.9306|291.0|0.35|22|SKS|14.0||0.13||
349|PARB|-23.3417|-45.6244|74.0|1.05|22|SKS|3.0||0.13||
350|PPDB|-22.0327|-51.3133|89.0|0.65|22|SKS|8.0||0.07||
351|PTMB|-21.4628|-57.4756|56.0|1.55|22|SKS|2.0||0.15||
352|RIFB|-20.0737|-47.5019|293.0|1.6|22|SKS|3.0||0.1||
353|TRIB|-20.6725|-51.3258|78.0|0.6|22|SKS|7.0||0.08||
354|NAP0|42.7025|9.3606|62.0|1.2|23|SKS|13.5||0.3||
355|NAP1|42.7864|10.3814|101.0|1.0|23|SKS|9.6||0.5||
356|NAP2|42.9053|10.9122|82.0|0.9|23|SKS|18.6||0.2||
357|NAP3|42.9303|11.2228|60.0|1.3|23|SKS|34.6||0.6||
358|NAP4|43.0356|11.6128|117.0|1.3|23|SKS|19.2||0.4||
359|NAP5|43.1269|12.0569|139.0|1.4|23|SKS|16.8||0.2||
360|NAP6|43.1753|12.3842|123.0|1.3|23|SKS|15.3||0.3||
361|NAP7|43.3372|12.7469|170.0|1.1|23|SKS|26.6||0.5||
362|NAP8|43.3808|13.1653|177.0|0.4|23|SKS|30.8||0.1||
363|NAP9|43.5419|13.6081|151.0|0.8|23|SKS|22.7||0.3||
364|CAY|4.948|-52.317|299.0|0.75|24|SKS|||||
365|LPAZ|-16.288|-68.131|300.0|1.1|24|SKS|||||
366|MBO|14.391|-16.955|82.0|0.75|24|SKS|||||
367|BARV|10.66|-63.17|84.0|2.1|25|SKS|2.0||0.2||
368|CECV|10.57|-64.17|84.0|1.6|25|SKS|2.0||0.2||
369|ECPV|9.18|-65.25|83.0|1.0|25|SKS|4.0||0.2||
370|HSPV|9.87|-64.17|108.0|1.3|25|SKS|5.0||0.1||
371|MNVV|9.95|-64.03|97.0|1.6|25|SKS|3.0||0.2||
372|RSLV|10.65|-62.25|86.0|1.9|25|SKS|3.0||0.3||
373|SJG|18.11|-66.15|85.0|1.2|25|SKS|1.0||0.2||
374|TRNV|10.65|-61.4|95.0|1.9|25|SKS|11.0||0.2||
375|BLA|37.5418|-105.5746|23.0|0.75|26|SKS|15.0||0.85||
376|BTO|40.3931|-105.1999|52.0|0.93|26|SKS|14.0||0.3||
377|BUR|39.3888|-102.351|53.0|1.35|26|SKS|2.0||0.1||
378|HLD|39.2287|-109.1402|70.0|0.6|26|SKS|18.0||0.35||
379|LED|39.1532|-106.345|18.0|0.63|26|SKS|13.0||0.2||
380|LMN|39.4163|-103.6222|28.0|1.2|26|SKS|4.0||0.2||
381|MKR|40.033|-107.744|48.0|0.48|26|SKS|19.0||0.33||
382|MON|38.4098|-107.9973|332.0|0.45|26|SKKS|21.0||0.3||
383|ORD|38.5308|-103.7067|48.0|0.25|26|SKS|23.0||2.1||
384|RKF|38.0731|-103.6302|320.0|0.88|26|SKS|6.0||0.15||
385|SFK|37.688|-106.6225|38.0|1.03|26|SKS|11.0||0.2||
386|SHL|38.5955|-102.4572|44.0|0.6|26|SKKS|18.0||0.4||
387|SPR|37.459|-102.64|334.0|0.62|26|SKS|16.0||0.45||
388|WIG|40.327|-104.0735|61.0|0.93|26|SKS|9.0||0.18||
389|YUM|40.163|-102.7803|44.0|0.65|26|SKS|5.0||0.1||
390|BPI|-26.175|28.03|20.0|0.4|27|SKS|||||
391|DOU|-29.115|23.865|40.0|1.1|27|SKS|||||
392|KAM|-29.133|23.125|20.0|1.4|27|SKS|||||
393|KLI|-25.853|23.272|40.0|1.0|27|SKS|||||
394|PIL|-25.221|27.101|50.0|0.6|27|SKS|||||
395|SAN|-24.626|27.618|30.0|0.7|27|SKS|||||
396|WAR|-28.377|24.893|20.0|1.3|27|SKS|||||
