0.047 0 0 0 5433197.85821         0
0.047 0 0 0 5433197.85821         0
0.047 0 0 0 5433197.85821         0
NaN NaN DEPTH STRIKE DIP RAKE STRIKE DIP RAKE 0.047 0 0 0 0
160 -9.94 546.0 64.00 49.00 -58.00 201.00 50.00 -121.00 3.44357 0 0 0 134.959
-64.04 -22.37 554.2 168.00 36.00 -89.00 347.00 54.00 -91.00 1.91224 0 0 0 95.7029
-179.24 -21.66 635.0 66.00 51.00 -72.00 218.00 42.00 -111.00 1.7 0 0 0 152.764
140.24 26.34 490.3 115.00 59.00 -117.00 340.00 41.00 -53.00 3.44357 0 0 0 93.8846
-178.95 -20.57 607.0 45.00 73.00 -108.00 273.00 24.00 -45.00 1.60288 0 0 0 151.742
171.87 -13.91 594.5 18.00 32.00 -75.00 180.00 59.00 -99.00 2.15098 0 0 0 143.09
143.5 44.69 254.0 59.00 58.00 168.00 156.00 80.00 32.00 2.88648 0 0 0 79.0974
-179.54 -21.98 599.0 16.00 85.00 -69.00 119.00 21.00 -166.00 2.41952 0 0 0 153.024
178.59 -22.65 669.6 24.00 55.00 -27.00 130.00 68.00 -142.00 3.24685 0 0 0 153.288
126.54 -6.95 432.5 3.00 19.00 -31.00 123.00 80.00 -106.00 3.24685 0 0 0 113.81
70.86 36.91 211.8 104.00 73.00 93.00 275.00 17.00 81.00 1.803 0 0 0 46.1002
133.59 38.48 424.1 209.00 88.00 125.00 302.00 35.00 3.00 2.2813 0 0 0 80.5992
129.91 -6.36 163.6 251.00 80.00 -9.00 343.00 82.00 -170.00 2.0281 0 0 0 115.476
120.81 -7.12 642.6 114.00 67.00 -76.00 261.00 27.00 -120.00 2.0281 0 0 0 110.254
145.76 18.93 201.1 190.00 47.00 136.00 314.00 59.00 52.00 2.15098 0 0 0 102.832
125.27 -5.59 566.4 17.00 29.00 129.00 154.00 68.00 70.00 1.91224 0 0 0 111.956
130.02 -6.21 188.6 158.00 74.00 164.00 252.00 75.00 17.00 2.2813 0 0 0 115.427
143.04 21.62 279.1 76.00 62.00 68.00 297.00 36.00 125.00 1.7 0 0 0 99.2565
94.78 23.5 136.6 145.00 25.00 137.00 275.00 73.00 71.00 1.91224 0 0 0 70.4424
142.31 46.04 344.1 64.00 52.00 149.00 174.00 66.00 42.00 1.91224 0 0 0 77.5102
178.76 -34.84 205.4 15.00 64.00 54.00 254.00 44.00 140.00 2.56611 0 0 0 164.879
-178.65 -20.71 620.6 87.00 53.00 -102.00 286.00 38.00 -75.00 1.7 0 0 0 151.928
113.33 -6.53 624.0 88.00 76.00 -79.00 229.00 18.00 -128.00 2.15098 0 0 0 104.906
-174.93 52.38 159.1 21.00 75.00 -85.00 184.00 16.00 -107.00 3.06137 0 0 0 79.3096
167.99 -17.12 244.1 115.00 56.00 169.00 211.00 81.00 35.00 2.2813 0 0 0 144.76
169.1 -18.58 243.1 51.00 30.00 150.00 168.00 76.00 64.00 2.2813 0 0 0 146.521
145.29 18.77 599.8 34.00 49.00 -29.00 144.00 69.00 -135.00 1.7 0 0 0 102.768
140.59 27.24 391.3 113.00 69.00 -97.00 313.00 22.00 -72.00 3.06137 0 0 0 93.2563
-179.43 -21.51 612.0 33.00 84.00 -75.00 144.00 16.00 -158.00 2.0281 0 0 0 152.583
-64.67 18 138.8 50.00 77.00 -90.00 229.00 13.00 -91.00 1.7 0 0 0 65.4869
-178.36 -18.27 573.4 11.00 83.00 -150.00 277.00 60.00 -8.00 1.7 0 0 0 149.563
151.53 52.32 649.6 31.00 53.00 -101.00 229.00 38.00 -76.00 3.44357 0 0 0 74.6405
150.99 52.1 560.7 4.00 79.00 -79.00 137.00 15.00 -136.00 2.15098 0 0 0 74.7031
139.98 29.77 178.1 27.00 84.00 -65.00 130.00 26.00 -166.00 2.41952 0 0 0 90.7905
151.02 51.45 524.5 31.00 73.00 -105.00 254.00 22.00 -50.00 2.72159 0 0 0 75.302
178.51 -25.22 584.2 104.00 62.00 -136.00 350.00 52.00 -36.00 2.15098 0 0 0 155.751
-66.75 -23.47 214.9 167.00 33.00 -83.00 338.00 57.00 -95.00 2.72159 0 0 0 98.1517
-179.56 -22.07 602.7 26.00 54.00 108.00 178.00 39.00 67.00 1.7 0 0 0 153.108
-77.82 -1.16 168.3 183.00 32.00 -40.00 309.00 70.00 -115.00 2.41952 0 0 0 88.3766
94.65 6.98 136.0 103.00 49.00 155.00 209.00 72.00 44.00 1.803 0 0 0 82.411
-77.07 -3.13 118.0 150.00 40.00 -90.00 330.00 50.00 -90.00 3.65221 0 0 0 89.3549
179.93 -23.07 554.2 145.00 90.00 91.00 255.00 1.00 20.00 2.15098 0 0 0 153.987
-71.89 -6.3 548.8 136.00 44.00 -118.00 352.00 52.00 -66.00 2.0281 0 0 0 88.3326
-71.7 -6.37 550.1 8.00 52.00 -86.00 181.00 39.00 -95.00 1.7 0 0 0 88.2616
-178.79 -20.52 649.4 54.00 88.00 -71.00 151.00 19.00 -173.00 2.15098 0 0 0 151.719
-178.07 -28.12 211.2 36.00 59.00 -33.00 145.00 62.00 -144.00 2.2813 0 0 0 159.311
154.16 48.77 131.3 31.00 76.00 -77.00 166.00 20.00 -132.00 2.56611 0 0 0 78.5646
